"pathway" "pval" "padj" "ES" "NES" "nMoreExtreme" "size" "path_name"
"1" "path:map02040" 0.000288569058182736 0.0222198174800707 -0.825979862770248 -1.80212304237594 7 37 "Flagellar assembly"
"2" "path:map02030" 0.0254367575122292 0.550048837074794 -0.800883651973512 -1.55157717910539 909 19 "Bacterial chemotaxis"
"3" "path:map00760" 0.0302068831547253 0.550048837074794 -0.730097263770994 -1.52552214872386 932 29 "Nicotinate and nicotinamide metabolism"
"4" "path:map03010" 0.0288263247556711 0.550048837074794 -0.634202103752425 -1.48112813865413 642 55 "Ribosome"
"5" "path:map00680" 0.0524953318621626 0.550048837074794 -0.614986847844464 -1.41223252790937 1236 50 "Methane metabolism"
"6" "path:map00020" 0.0722273014979956 0.550048837074794 -0.648736949137376 -1.40109860941526 2053 35 "Citrate cycle (TCA cycle)"
"7" "path:map00240" 0.0763885873105485 0.550048837074794 -0.587766093948145 -1.35822920672158 1758 52 "Pyrimidine metabolism"
"8" "path:map01502" 0.162063837697169 0.656785026456949 -0.692457221262198 -1.30178939896955 6102 16 "Vancomycin resistance"
"9" "path:map00562" 0.194804141547944 0.699884666080844 -0.662924856002083 -1.25977017930359 7205 17 "Inositol phosphate metabolism"
"10" "path:map00260" 0.148751870226002 0.656785026456949 -0.559229989525306 -1.25640123226643 3777 44 "Glycine, serine and threonine metabolism"
"11" "path:map01503" 0.19996704745167 0.699884666080844 -0.650753111794512 -1.25003385252418 7281 18 "Cationic antimicrobial peptide (CAMP) resistance"
"12" "path:map00720" 0.161533518954808 0.656785026456949 -0.533318412642397 -1.22972316920496 3770 51 "Carbon fixation pathways in prokaryotes"
"13" "path:map03430" 0.278464116327284 0.775394639480391 -0.594542842983182 -1.16280774260335 9804 20 "Mismatch repair"
"14" "path:map03410" 0.304046930334406 0.780563431721014 -0.602909491526122 -1.14572170792358 11246 17 "Base excision repair"
"15" "path:map00970" 0.275147044163094 0.775394639480391 -0.539436642456445 -1.14137064243842 8279 31 "Aminoacyl-tRNA biosynthesis"
"16" "path:map03018" 0.398071278825996 0.852158735638798 -0.544818387032874 -1.05549385855759 14240 19 "RNA degradation"
"17" "path:map02024" 0.430065591207233 0.895001365485322 -0.403961684742786 -0.999859538078016 7277 80 "Quorum sensing"
"18" "path:map05111" 0.462110296044014 0.90748677022031 -0.47173885610441 -0.99232314680357 14110 30 "Biofilm formation - Vibrio cholerae"
"19" "path:map01210" 0.476290167148506 0.90748677022031 -0.463939291688769 -0.981629065826749 14332 31 "2-Oxocarboxylic acid metabolism"
"20" "path:map00541" 0.551389158733243 0.91189944475886 -0.417391404600997 -0.934142719266237 14189 43 "O-Antigen nucleotide sugar biosynthesis"
"21" "path:map02010" 0.664421052631579 0.912224318049913 -0.338242516777025 -0.933328599105918 4733 172 "ABC transporters"
"22" "path:map01220" 0.563982864674868 0.91189944475886 -0.480719017148692 -0.923414785264625 20537 18 "Degradation of aromatic compounds"
"23" "path:map00300" 0.638522905838269 0.912224318049913 -0.432639418477322 -0.872664910115209 21129 24 "Lysine biosynthesis"
"24" "path:map03070" 0.66147408397215 0.912224318049913 -0.40073740904793 -0.865485814095095 18810 35 "Bacterial secretion system"
"25" "path:map00400" 0.679516987924698 0.912224318049913 -0.388541030566932 -0.859831745914313 18119 40 "Phenylalanine, tyrosine and tryptophan biosynthesis"
"26" "path:map00790" 0.730260072863687 0.921803698532851 -0.379652406338604 -0.828325701865909 20244 37 "Folate biosynthesis"
"27" "path:map03030" 0.701312609841828 0.912224318049913 -0.427810298427634 -0.821782248598574 25538 18 "DNA replication"
"28" "path:map00900" 0.790049897270326 0.939006336900157 -0.384950041204776 -0.764697040681987 26916 22 "Terpenoid backbone biosynthesis"
"29" "path:map03440" 0.94385559566787 0.99771826588207 -0.314839228447899 -0.620488273879205 32680 21 "Homologous recombination"
"30" "path:map03060" 0.994431077829742 0.99771826588207 -0.24847304515254 -0.472178603366385 36784 17 "Protein export"
"31" "path:map01501" 0.992286624559835 0.99771826588207 0.279892863959012 0.492383660914535 71011 35 "beta-Lactam resistance"
"32" "path:map00730" 0.979665872608093 0.99771826588207 0.300381089261325 0.49664345206978 62920 19 "Thiamine metabolism"
"33" "path:map00052" 0.987007161976416 0.99771826588207 0.288792112560287 0.498186452621413 68216 29 "Galactose metabolism"
"34" "path:map00670" 0.970829281844701 0.99771826588207 0.313913044539253 0.521602720197469 62900 20 "One carbon pool by folate"
"35" "path:map00230" 0.99771826588207 0.99771826588207 0.273173813553567 0.521626321953088 83079 81 "Purine metabolism"
"36" "path:map00520" 0.963571007660577 0.99771826588207 0.332109630026327 0.640272792574572 81758 91 "Amino sugar and nucleotide sugar metabolism"
"37" "path:map02060" 0.889036290203709 0.992112961531675 0.383188642092048 0.653613395691569 60313 26 "Phosphotransferase system (PTS)"
"38" "path:map00710" 0.854180033363275 0.981879277963104 0.412853644662744 0.67092216071711 53252 16 "Carbon fixation in photosynthetic organisms"
"39" "path:map00740" 0.854362488617246 0.981879277963104 0.409639515686812 0.680663290040171 55354 20 "Riboflavin metabolism"
"40" "path:map00010" 0.868320119439868 0.983244841130439 0.389459535616218 0.716856819605546 67464 55 "Glycolysis / Gluconeogenesis"
"41" "path:map00540" 0.792667686993639 0.939006336900157 0.433786679797484 0.760715091687295 56452 34 "Lipopolysaccharide biosynthesis"
"42" "path:map00770" 0.695740547003437 0.912224318049913 0.495233240025955 0.837830678636351 46551 24 "Pantothenate and CoA biosynthesis"
"43" "path:map00860" 0.710824143934997 0.912224318049913 0.464776655362682 0.844034616260825 53888 48 "Porphyrin and chlorophyll metabolism"
"44" "path:map01200" 0.756962670121701 0.939006336900157 0.428322947526684 0.850712485571553 68355 139 "Carbon metabolism"
"45" "path:map00500" 0.703003589194635 0.912224318049913 0.461491169815421 0.859395037922183 55821 62 "Starch and sucrose metabolism"
"46" "path:map01120" 0.7696680519214 0.939006336900157 0.429634857274304 0.881489632068466 75007 297 "Microbial metabolism in diverse environments"
"47" "path:map00270" 0.632844590373137 0.912224318049913 0.499607484454523 0.903800455500212 47606 46 "Cysteine and methionine metabolism"
"48" "path:map00564" 0.599919385022889 0.912224318049913 0.534559295782085 0.92493697380357 41673 30 "Glycerophospholipid metabolism"
"49" "path:map01230" 0.621089791782434 0.912224318049913 0.469094030777932 0.938420323705186 57002 157 "Biosynthesis of amino acids"
"50" "path:map01110" 0.658403869407497 0.912224318049913 0.459419751349108 0.948848420410486 65339 429 "Biosynthesis of secondary metabolites"
"51" "path:map00280" 0.568456796732796 0.91189944475886 0.568256304139768 0.949148499574049 37163 21 "Valine, leucine and isoleucine degradation"
"52" "path:map00340" 0.558596101310367 0.91189944475886 0.577269388029394 0.959199652008117 36191 20 "Histidine metabolism"
"53" "path:map00330" 0.551181561234302 0.91189944475886 0.561342887529553 0.964716626500492 37831 28 "Arginine and proline metabolism"
"54" "path:map00450" 0.534048375428553 0.91189944475886 0.596699343305066 0.98140683315675 33957 18 "Selenocompound metabolism"
"55" "path:map00620" 0.510065067100447 0.91189944475886 0.53681428849401 0.995065443343243 40135 59 "Pyruvate metabolism"
"56" "path:map00550" 0.483207241286139 0.90748677022031 0.56720074786572 1.01731819457274 35766 42 "Peptidoglycan biosynthesis"
"57" "path:map00650" 0.480679108772507 0.90748677022031 0.573570298237371 1.0199906658351 35078 39 "Butanoate metabolism"
"58" "path:map02020" 0.398411876402555 0.852158735638798 0.525566661437649 1.05556706544957 36927 169 "Two-component system"
